ID,Name,Type,Parent
151,Edited Nearest Neighbor (ENN),leaf,150
152,Repeated-ENN (RENN),leaf,150
153,Multiedit,leaf,150
154,Relative Neighborhood Graph Edition (RNGE),leaf,150
155,Modified Edited Nearest Neighbor (MENN),leaf,150
156,Nearest Centroid Neighbor Edition (NCNEdit),leaf,150
157,Batch,folder,149
158,AllKNN,leaf,157
159,Model Class Selection (MoCS),leaf,157
160,Hybrid Algorithms,folder,130
161,Incremental,folder,160
162,Instance-Based Learning Algorithms Family (IB3),leaf,161
163,Decremental,leaf,160
164,Filter,folder,160
165,Variable Similarity Metric (VSM),leaf,164
166,Decremental Reduction Optimization Procedure Family (DROP),leaf,164
167,Support Vector Based Prototype Selection (SVBPS),leaf,164
168,Class Conditional Instance Selection (CCIS),leaf,164
169,Wrapper,folder,160
170,Backward Sequential Edition (BSE),leaf,169
171,Batch,folder,160
172,Iterative Case Filtering (ICF),leaf,171
173,Hit-Miss Network Algorithms (HMN),leaf,171
174,Mixed+Wrapper,folder,160
175,Encoding Length Familiy (Explore),leaf,174
176,CHC(CHC),leaf,174
177,Steady-state memetic algorithm (SSMA),leaf,174
178,COoperative COevolutionary Instance Selection (CoCoIS),leaf,174
179,Fixed+Wrapper,folder,160
180,Random Mutation Hill Climbing (RMHC),leaf,179
181,Prototyping,folder,112
182,Prototype Generation,leaf,181
183,Distance Metrics Feature Weighting and Combinations with Feature Selection,leaf,181
184,Hybridizations with Other Learning Methods and Ensembles,leaf,181
185,Scaling-Up Approaches,leaf,181
186,Data Complexity,leaf,181
187,Discretization,folder,1
188,Discretization Process,folder,187
189,Feature,leaf,188
190,Instance,leaf,188
191,Cut Point,leaf,188
192,Arity,leaf,188
193,Sorting,leaf,188
194,Selection of a Cut Point,leaf,188
195,Splitting/Merging,leaf,188
196,Stopping Criteria,leaf,188
197,Discretization Specific Analysis,leaf,188
198,Optimal Multisplitting,leaf,188
199,Discretization of Continuous Labels,leaf,188
200,Fuzzy Discretization,leaf,188
201,Cost-Sensitive Discretization,leaf,188
202,Semi-Supervised Discretization,leaf,188
